Probability of death for females by calendar year and by single year of age (ages 0 to 119).
Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119
2023,0.005075,0.000394,0.000231,0.000190,0.000156,0.000134,0.000116,0.000105,0.000101,0.000099,0.000102,0.000111,0.000127,0.000152,0.000189,0.000230,0.000275,0.000325,0.000375,0.000414,0.000445,0.000481,0.000518,0.000552,0.000589,0.000616,0.000649,0.000691,0.000749,0.000818,0.000888,0.000957,0.001028,0.001099,0.001165,0.001220,0.001274,0.001358,0.001449,0.001544,0.001654,0.001753,0.001855,0.001964,0.002085,0.002197,0.002317,0.002449,0.002606,0.002801,0.003041,0.003299,0.003565,0.003858,0.004183,0.004545,0.004937,0.005379,0.005829,0.006348,0.006938,0.007571,0.008236,0.008896,0.009524,0.010188,0.010874,0.011650,0.012533,0.013571,0.014760,0.016145,0.017695,0.019482,0.021519,0.023829,0.026441,0.029683,0.033116,0.036959,0.041158,0.045930,0.051248,0.057223,0.064061,0.071700,0.080437,0.090508,0.102142,0.115107,0.129096,0.144139,0.160258,0.177511,0.196283,0.216462,0.238221,0.260707,0.283133,0.305613,0.328693,0.352240,0.376108,0.400134,0.424142,0.449590,0.476565,0.505159,0.535469,0.565522,0.593798,0.623488,0.654662,0.687395,0.721765,0.757853,0.795746,0.835533,0.877310,0.921175
2024,0.004709,0.000372,0.000216,0.000182,0.000154,0.000134,0.000121,0.000112,0.000107,0.000106,0.000109,0.000118,0.000132,0.000153,0.000179,0.000182,0.000221,0.000270,0.000322,0.000372,0.000417,0.000457,0.000495,0.000531,0.000568,0.000606,0.000649,0.000696,0.000745,0.000798,0.000856,0.000914,0.000970,0.001022,0.001069,0.001119,0.001176,0.001241,0.001309,0.001371,0.001426,0.001482,0.001552,0.001643,0.001755,0.001888,0.002036,0.002200,0.002385,0.002595,0.002832,0.003097,0.003396,0.003732,0.004104,0.004508,0.004937,0.005386,0.005846,0.006314,0.006785,0.007252,0.007712,0.008172,0.008655,0.009474,0.010117,0.010886,0.011813,0.012926,0.014249,0.015800,0.017572,0.019524,0.021608,0.023857,0.026352,0.029200,0.032486,0.036286,0.040671,0.045693,0.051375,0.057718,0.064786,0.069856,0.078324,0.087802,0.098442,0.110330,0.123434,0.137764,0.153462,0.170728,0.189588,0.209776,0.230754,0.251771,0.272253,0.292100,0.312640,0.333818,0.355569,0.377820,0.400489,0.424519,0.449990,0.476989,0.505608,0.535945,0.568102,0.602188,0.638319,0.676618,0.717215,0.760248,0.805863,0.848395,0.890814,0.935355
2025,0.004589,0.000341,0.000199,0.000168,0.000142,0.000123,0.000111,0.000103,0.000099,0.000097,0.000100,0.000109,0.000122,0.000141,0.000166,0.000182,0.000222,0.000271,0.000323,0.000374,0.000419,0.000460,0.000498,0.000535,0.000572,0.000611,0.000655,0.000702,0.000752,0.000806,0.000864,0.000924,0.000980,0.001032,0.001079,0.001129,0.001186,0.001251,0.001319,0.001380,0.001434,0.001489,0.001557,0.001647,0.001758,0.001890,0.002038,0.002201,0.002386,0.002595,0.002832,0.003098,0.003398,0.003736,0.004111,0.004517,0.004950,0.005402,0.005866,0.006336,0.006808,0.007274,0.007732,0.008189,0.008669,0.009208,0.009830,0.010573,0.011471,0.012551,0.013837,0.015348,0.017075,0.018977,0.021005,0.023190,0.025614,0.028383,0.031578,0.035276,0.039546,0.044440,0.049979,0.056168,0.063077,0.070833,0.079443,0.089065,0.099861,0.111923,0.125220,0.139764,0.155702,0.173242,0.192410,0.212936,0.234270,0.255641,0.276465,0.296641,0.317521,0.339045,0.361148,0.383755,0.406780,0.431187,0.457058,0.484481,0.513550,0.544363,0.577025,0.611647,0.648345,0.687246,0.728481,0.772190,0.818521,0.861414,0.904485,0.949709
2026,0.004516,0.000309,0.000180,0.000152,0.000128,0.000112,0.000101,0.000094,0.000090,0.000088,0.000091,0.000099,0.000111,0.000128,0.000151,0.000181,0.000220,0.000269,0.000321,0.000372,0.000417,0.000458,0.000496,0.000533,0.000570,0.000610,0.000653,0.000701,0.000751,0.000805,0.000863,0.000922,0.000979,0.001030,0.001077,0.001126,0.001183,0.001247,0.001314,0.001374,0.001426,0.001479,0.001546,0.001634,0.001743,0.001873,0.002019,0.002180,0.002362,0.002569,0.002804,0.003068,0.003366,0.003702,0.004075,0.004479,0.004910,0.005360,0.005821,0.006289,0.006757,0.007218,0.007669,0.008119,0.008594,0.009128,0.009743,0.010476,0.011364,0.012433,0.013709,0.015209,0.016926,0.018815,0.020827,0.022994,0.025396,0.028141,0.031311,0.034982,0.039222,0.044082,0.049587,0.055746,0.062634,0.070380,0.078961,0.088534,0.099267,0.111258,0.124478,0.138941,0.154795,0.172249,0.191332,0.211774,0.233025,0.254314,0.275055,0.295153,0.315948,0.337382,0.359389,0.381891,0.404805,0.429093,0.454839,0.482129,0.511057,0.541720,0.574223,0.608677,0.645197,0.683909,0.724944,0.768441,0.814547,0.856878,0.899722,0.944708
2027,0.004444,0.000304,0.000177,0.000150,0.000127,0.000110,0.000100,0.000093,0.000089,0.000087,0.000090,0.000097,0.000110,0.000127,0.000149,0.000179,0.000219,0.000267,0.000319,0.000369,0.000415,0.000455,0.000494,0.000531,0.000568,0.000607,0.000651,0.000698,0.000749,0.000802,0.000861,0.000920,0.000976,0.001027,0.001073,0.001122,0.001178,0.001241,0.001307,0.001367,0.001417,0.001469,0.001534,0.001620,0.001728,0.001856,0.002000,0.002158,0.002338,0.002543,0.002776,0.003038,0.003333,0.003667,0.004038,0.004440,0.004868,0.005315,0.005774,0.006238,0.006702,0.007157,0.007603,0.008047,0.008516,0.009048,0.009657,0.010382,0.011260,0.012319,0.013584,0.015073,0.016778,0.018654,0.020651,0.022800,0.025182,0.027904,0.031048,0.034690,0.038899,0.043726,0.049196,0.055322,0.062189,0.069925,0.078478,0.088001,0.098670,0.110589,0.123730,0.138109,0.153876,0.171241,0.190232,0.210582,0.231744,0.252943,0.273597,0.293613,0.314321,0.335661,0.357567,0.379962,0.402760,0.426926,0.452541,0.479694,0.508475,0.538984,0.571323,0.605602,0.641939,0.680455,0.721282,0.764559,0.810433,0.852159,0.894767,0.939506
2028,0.004373,0.000300,0.000175,0.000148,0.000125,0.000109,0.000098,0.000091,0.000087,0.000086,0.000089,0.000096,0.000109,0.000125,0.000148,0.000178,0.000217,0.000265,0.000317,0.000367,0.000412,0.000453,0.000491,0.000528,0.000565,0.000605,0.000648,0.000695,0.000745,0.000799,0.000857,0.000916,0.000972,0.001023,0.001068,0.001116,0.001171,0.001235,0.001300,0.001358,0.001407,0.001458,0.001521,0.001606,0.001712,0.001838,0.001980,0.002137,0.002315,0.002517,0.002748,0.003008,0.003301,0.003632,0.004000,0.004399,0.004824,0.005269,0.005724,0.006184,0.006643,0.007094,0.007533,0.007972,0.008438,0.008968,0.009572,0.010289,0.011158,0.012207,0.013462,0.014940,0.016633,0.018496,0.020478,0.022609,0.024970,0.027670,0.030789,0.034403,0.038580,0.043372,0.048805,0.054898,0.061743,0.069471,0.077994,0.087468,0.098073,0.109919,0.122980,0.137274,0.152951,0.170222,0.189118,0.209370,0.230435,0.251541,0.272105,0.292036,0.312653,0.333897,0.355701,0.377985,0.400664,0.424704,0.450186,0.477198,0.505830,0.536179,0.568350,0.602451,0.638598,0.676914,0.717529,0.760581,0.806215,0.847306,0.889672,0.934155
2029,0.004302,0.000296,0.000172,0.000146,0.000123,0.000108,0.000097,0.000090,0.000086,0.000085,0.000088,0.000095,0.000107,0.000124,0.000146,0.000176,0.000215,0.000263,0.000315,0.000365,0.000409,0.000450,0.000488,0.000526,0.000562,0.000601,0.000645,0.000692,0.000742,0.000795,0.000853,0.000911,0.000967,0.001018,0.001063,0.001110,0.001164,0.001227,0.001291,0.001349,0.001397,0.001446,0.001508,0.001592,0.001696,0.001821,0.001961,0.002116,0.002291,0.002492,0.002721,0.002978,0.003269,0.003597,0.003962,0.004358,0.004780,0.005220,0.005672,0.006128,0.006583,0.007028,0.007462,0.007896,0.008359,0.008888,0.009488,0.010198,0.011058,0.012098,0.013342,0.014810,0.016491,0.018340,0.020306,0.022420,0.024762,0.027439,0.030533,0.034119,0.038264,0.043020,0.048415,0.054475,0.061298,0.069017,0.077511,0.086935,0.097477,0.109249,0.122230,0.136437,0.152023,0.169198,0.187994,0.208145,0.229109,0.250116,0.270587,0.290432,0.310957,0.332104,0.353802,0.375974,0.398532,0.422444,0.447791,0.474658,0.503138,0.533326,0.565326,0.599245,0.635200,0.673312,0.713711,0.756533,0.801925,0.842357,0.884475,0.928698
2030,0.004232,0.000292,0.000170,0.000144,0.000122,0.000106,0.000096,0.000089,0.000085,0.000084,0.000087,0.000094,0.000106,0.000123,0.000145,0.000175,0.000214,0.000261,0.000313,0.000362,0.000407,0.000447,0.000485,0.000522,0.000559,0.000598,0.000641,0.000688,0.000738,0.000791,0.000848,0.000906,0.000962,0.001012,0.001056,0.001103,0.001157,0.001219,0.001282,0.001339,0.001386,0.001434,0.001495,0.001577,0.001680,0.001803,0.001941,0.002094,0.002268,0.002467,0.002694,0.002949,0.003236,0.003562,0.003923,0.004316,0.004734,0.005171,0.005619,0.006071,0.006521,0.006961,0.007390,0.007819,0.008279,0.008808,0.009405,0.010109,0.010961,0.011991,0.013225,0.014682,0.016350,0.018186,0.020137,0.022234,0.024557,0.027212,0.030281,0.033839,0.037951,0.042671,0.048028,0.054054,0.060855,0.068565,0.077031,0.086405,0.096883,0.108581,0.121481,0.135601,0.151094,0.168172,0.186865,0.206911,0.227771,0.248678,0.269054,0.288811,0.309243,0.330290,0.351882,0.373940,0.396376,0.420159,0.445368,0.472090,0.500416,0.530441,0.562267,0.596003,0.631763,0.669669,0.709849,0.752440,0.797468,0.837342,0.879209,0.923169
2031,0.004163,0.000287,0.000168,0.000142,0.000120,0.000105,0.000095,0.000088,0.000084,0.000083,0.000085,0.000093,0.000105,0.000121,0.000143,0.000173,0.000212,0.000259,0.000311,0.000360,0.000404,0.000444,0.000482,0.000519,0.000555,0.000594,0.000637,0.000684,0.000733,0.000786,0.000843,0.000901,0.000956,0.001005,0.001049,0.001095,0.001149,0.001210,0.001273,0.001328,0.001375,0.001422,0.001482,0.001562,0.001664,0.001786,0.001922,0.002073,0.002245,0.002442,0.002667,0.002919,0.003204,0.003526,0.003885,0.004274,0.004688,0.005122,0.005565,0.006013,0.006457,0.006892,0.007316,0.007741,0.008200,0.008729,0.009323,0.010021,0.010865,0.011886,0.013110,0.014556,0.016212,0.018034,0.019970,0.022050,0.024354,0.026988,0.030032,0.033562,0.037642,0.042325,0.047644,0.053636,0.060414,0.068115,0.076553,0.085878,0.096292,0.107916,0.120735,0.134768,0.150168,0.167147,0.185736,0.205674,0.226428,0.247232,0.267512,0.287180,0.307518,0.328464,0.349948,0.371892,0.394205,0.417858,0.442929,0.469505,0.497675,0.527536,0.559188,0.592739,0.628303,0.666002,0.705962,0.748320,0.792653,0.832285,0.873900,0.917595
2032,0.004095,0.000283,0.000165,0.000140,0.000119,0.000103,0.000093,0.000087,0.000083,0.000082,0.000084,0.000091,0.000103,0.000120,0.000142,0.000172,0.000210,0.000257,0.000308,0.000357,0.000401,0.000441,0.000479,0.000516,0.000552,0.000590,0.000633,0.000679,0.000728,0.000781,0.000837,0.000895,0.000949,0.000998,0.001042,0.001087,0.001140,0.001201,0.001263,0.001318,0.001363,0.001409,0.001468,0.001548,0.001648,0.001768,0.001903,0.002052,0.002222,0.002417,0.002640,0.002890,0.003172,0.003491,0.003846,0.004232,0.004642,0.005071,0.005511,0.005954,0.006394,0.006823,0.007242,0.007663,0.008121,0.008651,0.009243,0.009935,0.010771,0.011783,0.012998,0.014431,0.016075,0.017884,0.019805,0.021869,0.024154,0.026767,0.029787,0.033289,0.037336,0.041983,0.047264,0.053221,0.059977,0.067669,0.076078,0.085354,0.095704,0.107255,0.119993,0.133938,0.149245,0.166125,0.184608,0.204438,0.225083,0.245782,0.265966,0.285545,0.305787,0.326633,0.348009,0.369838,0.392028,0.415549,0.440482,0.466911,0.494926,0.524622,0.556099,0.589465,0.624833,0.662323,0.702062,0.744186,0.787816,0.827207,0.868568,0.911996
